"","t","R"
"1",0,1200
"2",1.001001001001,1197.11019416805
"3",2.002002002002,1194.23427319523
"4",3.003003003003,1191.37213725097
"5",4.004004004004,1188.52368745948
"6",5.00500500500501,1185.68882588829
"7",6.00600600600601,1182.86745553708
"8",7.00700700700701,1180.05948032659
"9",8.00800800800801,1177.2648050877
"10",9.00900900900901,1174.48333555072
"11",10.01001001001,1171.71497833476
"12",11.011011011011,1168.95964093728
"13",12.012012012012,1166.21723172381
"14",13.013013013013,1163.48765991775
"15",14.014014014014,1160.7708355904
"16",15.015015015015,1158.06666965106
"17",16.016016016016,1155.37507383727
"18",17.017017017017,1152.69596070526
"19",18.018018018018,1150.02924362045
"20",19.019019019019,1147.37483674808
"21",20.02002002002,1144.73265504406
"22",21.021021021021,1142.10261424587
"23",22.022022022022,1139.48463086357
"24",23.023023023023,1136.87862217099
"25",24.024024024024,1134.28450619704
"26",25.025025025025,1131.70220171704
"27",26.026026026026,1129.13162824435
"28",27.027027027027,1126.57270602191
"29",28.028028028028,1124.02535601405
"30",29.029029029029,1121.48949989831
"31",30.03003003003,1118.96506005746
"32",31.031031031031,1116.45195957156
"33",32.032032032032,1113.95012221012
"34",33.033033033033,1111.45947242442
"35",34.034034034034,1108.97993533994
"36",35.035035035035,1106.51143674876
"37",36.036036036036,1104.05390310226
"38",37.037037037037,1101.60726150376
"39",38.038038038038,1099.1714397013
"40",39.039039039039,1096.74636608058
"41",40.04004004004,1094.3319696579
"42",41.041041041041,1091.92818007325
"43",42.042042042042,1089.53492758346
"44",43.043043043043,1087.15214305547
"45",44.044044044044,1084.77975795969
"46",45.0450450450451,1082.41770436337
"47",46.0460460460461,1080.06591492419
"48",47.0470470470471,1077.72432288381
"49",48.0480480480481,1075.39286206157
"50",49.0490490490491,1073.07146684825
"51",50.0500500500501,1070.76007219992
"52",51.0510510510511,1068.45861363186
"53",52.0520520520521,1066.16702721259
"54",53.0530530530531,1063.8852495579
"55",54.0540540540541,1061.61321782503
"56",55.0550550550551,1059.35086970693
"57",56.0560560560561,1057.09814342651
"58",57.0570570570571,1054.85497773107
"59",58.0580580580581,1052.62131188671
"60",59.0590590590591,1050.39708567285
"61",60.0600600600601,1048.18223937685
"62",61.0610610610611,1045.97671378864
"63",62.0620620620621,1043.78045019544
"64",63.0630630630631,1041.59339037657
"65",64.0640640640641,1039.41547659829
"66",65.0650650650651,1037.24665160872
"67",66.0660660660661,1035.08685863284
"68",67.0670670670671,1032.93604136753
"69",68.0680680680681,1030.79414397663
"70",69.0690690690691,1028.6611110862
"71",70.0700700700701,1026.53688777966
"72",71.0710710710711,1024.42141959314
"73",72.0720720720721,1022.31465251078
"74",73.0730730730731,1020.21653296017
"75",74.0740740740741,1018.12700780776
"76",75.0750750750751,1016.04602435445
"77",76.0760760760761,1013.97353033107
"78",77.0770770770771,1011.90947389409
"79",78.0780780780781,1009.85380362122
"80",79.0790790790791,1007.80646850719
"81",80.0800800800801,1005.76741795953
"82",81.0810810810811,1003.73660179438
"83",82.0820820820821,1001.71397023236
"84",83.0830830830831,999.699473894564
"85",84.0840840840841,997.693063798474
"86",85.0850850850851,995.69469135403
"87",86.0860860860861,993.704308359694
"88",87.0870870870871,991.721866998577
"89",88.0880880880881,989.747319834609
"90",89.0890890890891,987.780619808754
"91",90.0900900900901,985.821720235277
"92",91.0910910910911,983.870574798042
"93",92.0920920920921,981.927137546868
"94",93.0930930930931,979.991362893918
"95",94.0940940940941,978.063205610138
"96",95.0950950950951,976.142620821729
"97",96.0960960960961,974.229564006672
"98",97.0970970970971,972.323990991283
"99",98.0980980980981,970.425857946814
"100",99.0990990990991,968.535121386094
"101",100.1001001001,966.651738160209
"102",101.101101101101,964.775665455215
"103",102.102102102102,962.906860788897
"104",103.103103103103,961.045282007564
"105",104.104104104104,959.190887282875
"106",105.105105105105,957.343635108709
"107",106.106106106106,955.503484298068
"108",107.107107107107,953.670393980016
"109",108.108108108108,951.844323596652
"110",109.109109109109,950.02523290012
"111",110.11011011011,948.21308194965
"112",111.111111111111,946.407831108639
"113",112.112112112112,944.609441041754
"114",113.113113113113,942.817872712083
"115",114.114114114114,941.033087378305
"116",115.115115115115,939.2550465919
"117",116.116116116116,937.483712194386
"118",117.117117117117,935.71904631459
"119",118.118118118118,933.961011365952
"120",119.119119119119,932.209570043852
"121",120.12012012012,930.464685322972
"122",121.121121121121,928.72632045469
"123",122.122122122122,926.994438964498
"124",123.123123123123,925.269004649449
"125",124.124124124124,923.54998157564
"126",125.125125125125,921.83733407571
"127",126.126126126126,920.131026746381
"128",127.127127127127,918.431024446011
"129",128.128128128128,916.737292292186
"130",129.129129129129,915.049795659335
"131",130.13013013013,913.368500176366
"132",131.131131131131,911.693371724337
"133",132.132132132132,910.024376434143
"134",133.133133133133,908.36148068424
"135",134.134134134134,906.704651098382
"136",135.135135135135,905.053854543387
"137",136.136136136136,903.409058126936
"138",137.137137137137,901.770229195379
